2017-03-15 12:00:00,2017-03-15 12:00:00,Lunch with Dave
2017-03-15 15:00:00,2017-03-15 15:30:00,Meeting with Amy
2017-03-15 18:00:00,2017-03-15 19:00:00,Dinner with Bob
2017-03-15 22:00:00,2017-03-16 06:00:00,Sleep
2017-05-10 11:45:00,2017-05-10 13:45:00,Meeting with Robert
2017-05-10 14:00:00,2017-05-10 16:30:00,Brainstorming with Willie
2017-05-10 18:00:00,2017-05-10 19:45:00,Date with Nancy
2017-05-11 12:15:00,2017-05-11 14:00:00,Lunch with Victoria
2017-05-11 19:15:00,2017-05-11 20:45:00,Dinner with Randy
2017-05-12 07:30:00,2017-05-12 09:45:00,Breakfast with Kathryn
2017-05-12 10:15:00,2017-05-12 13:00:00,Conference with Matthew
